"Name","longitude","latitude","time.bin","region","bio4","bio10","bio12","bio15","presence","tr.abcd","tr.abce","tr.abde","tr.acde","tr.bcde","test.e","test.d","test.c","test.b","test.a"
"americana",-113.387,45.599,"modern","HybridZoneSouth",874.710434611622,13.4135001103083,310,43.2518100544648,1,1,1,0,1,1,0,0,1,0,0
"americana",-113.239,47.317,"modern","HybridZoneNorth",814.557717206364,11.6626665592194,574,26.3669573974786,1,1,1,1,1,0,0,0,0,0,1
"americana",-115.384,47.378,"modern","HybridZoneSouth",780.403114388958,15.4603329499563,724,39.3357590738302,1,1,1,1,0,1,0,0,0,1,0
"americana",-114.02,47.762,"modern","HybridZoneNorth",742.285349486455,12.9866666793823,659,21.7760080670208,1,1,1,1,0,1,0,0,0,1,0
"americana",-114.596,48.083,"modern","HybridZoneNorth",793.325946599529,14.6856667200724,585,24.3196447263031,1,0,1,1,1,1,1,0,0,0,0
"americana",-113.578,48.253,"modern","HybridZoneNorth",832.077612195141,13.0206665992737,657,21.4855603499776,1,1,1,0,1,1,0,0,1,0,0
"americana",-115.954,48.265,"modern","HybridZoneNorth",754.020474549422,14.3778335253398,851,41.4421007701992,1,1,0,1,1,1,0,1,0,0,0
"americana",-115.015,48.506,"modern","HybridZoneNorth",794.169047684649,13.8005001544952,654,25.6487207102633,1,1,1,1,1,0,0,0,0,0,1
"americana",-114.154,48.53,"modern","HybridZoneNorth",848.896276600163,14.7713329792023,668,19.641326135373,1,1,0,1,1,1,0,1,0,0,0
"americana",-117,48.833,"modern","HybridZoneNorth",759.514857631694,14.8118335405986,854,35.3716982568905,1,0,1,1,1,1,1,0,0,0,0
"americana",-115.708,48.905,"modern","HybridZoneNorth",799.941532372278,14.8163332939148,703,31.4267151706606,1,1,1,0,1,1,0,0,1,0,0
"americana",-114.909,48.983,"modern","HybridZoneNorth",795.158468557357,11.2428332567215,798,21.0605455029045,1,0,1,1,1,1,1,0,0,0,0
"americana",-115.044,49.497,"modern","HybridZoneNorth",853.855692249693,14.4036665757497,882,26.4553694643615,1,1,0,1,1,1,0,1,0,0,0
