"Name","longitude","latitude","time.bin","region","bio4","bio10","bio12","bio15","presence","tr.abcd","tr.abce","tr.abde","tr.acde","tr.bcde","test.e","test.d","test.c","test.b","test.a"
"americana",-114.05,48.295,"modern","HybridZoneNorth",793.347819601196,12.3351666927338,727,19.231435392458,1,1,1,0,1,1,0,0,1,0,0
"americana",-113.387,45.599,"modern","HybridZoneSouth",874.710434611622,13.4135001103083,310,43.2518100544648,1,1,1,0,1,1,0,0,1,0,0
"americana",-113.239,47.317,"modern","HybridZoneNorth",814.557717206364,11.6626665592194,574,26.3669573974786,1,1,1,0,1,1,0,0,1,0,0
"americana",-115.384,47.378,"modern","HybridZoneSouth",780.403114388958,15.4603329499563,724,39.3357590738302,1,1,1,0,1,1,0,0,1,0,0
"americana",-114.02,47.762,"modern","HybridZoneNorth",742.285349486455,12.9866666793823,659,21.7760080670208,1,0,1,1,1,1,1,0,0,0,0
"americana",-115.01,48.007,"modern","HybridZoneNorth",785.072584727458,15.2620001633962,599,28.5035465269307,1,1,0,1,1,1,0,1,0,0,0
"americana",-113.974,48.065,"modern","HybridZoneNorth",827.999985393853,16.4296667575836,622,21.289391973579,1,1,0,1,1,1,0,1,0,0,0
"americana",-114.596,48.083,"modern","HybridZoneNorth",793.325946599529,14.6856667200724,585,24.3196447263031,1,1,1,0,1,1,0,0,1,0,0
"americana",-113.697,48.092,"modern","HybridZoneNorth",877.986546582634,15.2436667283376,660,19.157219849347,1,1,1,1,1,0,0,0,0,0,1
"americana",-113.943,48.1,"modern","HybridZoneNorth",813.144122214426,14.8954999446869,657,19.8141520799523,1,1,1,1,0,1,0,0,0,1,0
"americana",-113.578,48.253,"modern","HybridZoneNorth",832.077612195141,13.0206665992737,657,21.4855603499776,1,1,1,1,0,1,0,0,0,1,0
"americana",-115.954,48.265,"modern","HybridZoneNorth",754.020474549422,14.3778335253398,851,41.4421007701992,1,0,1,1,1,1,1,0,0,0,0
"americana",-114.027,48.348,"modern","HybridZoneNorth",828.152055224474,15.2535001436869,602,20.342013024099,1,1,0,1,1,1,0,1,0,0,0
"americana",-113.893,48.437,"modern","HybridZoneNorth",835.671767766265,13.271000067393,702,19.2094564280139,1,1,1,1,0,1,0,0,0,1,0
"americana",-114.154,48.443,"modern","HybridZoneNorth",835.500611189493,15.4266665776571,597,20.9229168291579,1,1,0,1,1,1,0,1,0,0,0
"americana",-115.741,48.45,"modern","HybridZoneNorth",770.649198793094,14.7281668186188,754,37.155198753678,1,1,1,1,0,1,0,0,0,1,0
"americana",-114.55,48.455,"modern","HybridZoneNorth",831.978752664151,15.8520002365112,549,26.0085234361884,1,1,1,1,1,0,0,0,0,0,1
"americana",-115.015,48.506,"modern","HybridZoneNorth",794.169047684649,13.8005001544952,654,25.6487207102633,1,1,1,1,1,0,0,0,0,0,1
"americana",-114.154,48.53,"modern","HybridZoneNorth",848.896276600163,14.7713329792023,668,19.641326135373,1,0,1,1,1,1,1,0,0,0,0
"americana",-114.275,48.53,"modern","HybridZoneNorth",813.086226279917,12.4568334023158,753,19.6846978652933,1,0,1,1,1,1,1,0,0,0,0
"americana",-114.395,48.53,"modern","HybridZoneNorth",784.494324380363,12.5400001207987,748,20.4137509759866,1,1,1,0,1,1,0,0,1,0,0
"americana",-114.85,48.537,"modern","HybridZoneNorth",787.635964728324,13.3921665350596,675,24.3418848849361,1,1,1,1,1,0,0,0,0,0,1
"americana",-115.405,48.543,"modern","HybridZoneNorth",780.014774547689,14.601333061854,662,29.6547012983782,1,0,1,1,1,1,1,0,0,0,0
"americana",-114.152,48.584,"modern","HybridZoneNorth",861.4436914291,14.7940002282461,664,19.6120192615455,1,1,1,1,1,0,0,0,0,0,1
"americana",-113.796,48.669,"modern","HybridZoneNorth",930.531999258262,13.3196669419607,756,21.7834936727539,1,1,1,1,1,0,0,0,0,0,1
"americana",-114.576,48.689,"modern","HybridZoneNorth",820.789074614228,11.7396668195724,784,20.2189293395086,1,0,1,1,1,1,1,0,0,0,0
"americana",-114.854,48.75,"modern","HybridZoneNorth",833.193682940072,15.9746666749318,471,24.802335386989,1,0,1,1,1,1,1,0,0,0,0
"americana",-115.666,48.796,"modern","HybridZoneNorth",793.633942246067,14.2093334197998,735,31.1808015161151,1,1,0,1,1,1,0,1,0,0,0
"americana",-117,48.833,"modern","HybridZoneNorth",759.514857631694,14.8118335405986,854,35.3716982568905,1,0,1,1,1,1,1,0,0,0,0
"americana",-115.773,48.855,"modern","HybridZoneNorth",791.21046436765,14.6038332780202,732,32.8465384834004,1,1,1,1,0,1,0,0,0,1,0
"americana",-114.823,48.86,"modern","HybridZoneNorth",817.410614598657,12.8546667098999,730,20.9940785776585,1,1,1,1,0,1,0,0,0,1,0
"americana",-115.689,48.875,"modern","HybridZoneNorth",799.941532372278,14.8163332939148,703,31.4267151706606,1,1,1,0,1,1,0,0,1,0,0
"americana",-114.909,48.983,"modern","HybridZoneNorth",795.158468557357,11.2428332567215,798,21.0605455029045,1,1,1,1,0,1,0,0,0,1,0
"americana",-115.044,49.497,"modern","HybridZoneNorth",853.855692249693,14.4036665757497,882,26.4553694643615,1,1,1,1,1,0,0,0,0,0,1
"americana",-113.566,48.484,"modern","HybridZoneNorth",893.1115039106,11.8749999205271,698,25.0256401311455,1,1,0,1,1,1,0,1,0,0,0
"americana",-114.6,48.643,"modern","HybridZoneNorth",812.300788801661,14.1374999682109,656,21.5614221321143,1,1,0,1,1,1,0,1,0,0,0
