"Name","longitude","latitude","time.bin","region","bio4","bio10","bio12","bio15","presence","tr.abcd","tr.abce","tr.abde","tr.acde","tr.bcde","test.e","test.d","test.c","test.b","test.a"
"americana",-120.284,49.574,"modern","americanaTrain",720.11167081587,11.7121666669846,564,24.0999601827074,1,0,1,1,1,1,1,0,0,0,0
"americana",-118.59,50.38,"modern","americanaTrain",762.923483061751,12.6705001195272,1086,24.5995455967823,1,1,1,1,1,0,0,0,0,0,1
"americana",-115.667,50.467,"modern","americanaTrain",841.980384910072,12.8926671346029,570,24.7500768683342,1,1,1,0,1,1,0,0,1,0,0
"americana",-132.975,54.943,"modern","americanaTrain",441.65481648101,12.2977275848389,2856,35.8063534414171,1,1,1,0,1,1,0,0,1,0,0
"americana",-67.279,45.189,"modern","americanaTrain",1009.44257015374,18.2981483141581,1144,10.5614943983889,1,0,1,1,1,1,1,0,0,0,0
"americana",-95.001,49.083,"modern","americanaTrain",1318.35624707839,18.0578335126241,549,63.4286983087796,1,1,1,0,1,1,0,0,1,0,0
"americana",-160.644,66.905,"modern","americanaTrain",1129.96311801987,11.2078332901001,248,69.1141208425501,1,1,0,1,1,1,0,1,0,0,0
"americana",-150.763,64.452,"modern","americanaTrain",1457.32638897581,14.1898334026337,406,68.6143875267144,1,0,1,1,1,1,1,0,0,0,0
"americana",-153.65,67.353,"modern","americanaTrain",1377.71181349441,12.0555001099904,318,62.5527575978503,1,1,1,1,0,1,0,0,0,1,0
"americana",-66.949,47,"modern","americanaTrain",1117.19892815645,15.6681663195292,1160,13.3594177922962,1,1,1,1,1,0,0,0,0,0,1
"americana",-83.656,47.528,"modern","americanaTrain",1144.10007267882,15.3413333098094,956,21.693946547659,1,1,1,0,1,1,0,0,1,0,0
"americana",-80.349,46.033,"modern","americanaTrain",1125.55581425395,17.6088333129883,988,17.3016026582931,1,1,0,1,1,1,0,1,0,0,0
"americana",-141.2,64.788,"modern","americanaTrain",1448.40317522028,13.3388334910075,290,68.861435398972,1,1,1,0,1,1,0,0,1,0,0
"americana",-160.135,63.938,"modern","americanaTrain",1198.32653937457,12.2205000718435,348,72.2090120008674,1,1,1,0,1,1,0,0,1,0,0
"americana",-89.999,48.219,"modern","americanaTrain",1186.59074034957,15.600999991099,810,32.8651426596942,1,1,0,1,1,1,0,1,0,0,0
