"Name","longitude","latitude","time.bin","region","bio4","bio10","bio12","bio15","presence","tr.abcd","tr.abce","tr.abde","tr.acde","tr.bcde","test.e","test.d","test.c","test.b","test.a"
"caurina",-110.238,45.194,"modern","HybridZoneSouth",808.648638760168,9.96599992116292,633,19.96112057546,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.56,45.305,"modern","HybridZoneSouth",725.59454359165,11.1103330850601,311,40.865593716382,1,0,1,1,1,1,1,0,0,0,0
"caurina",-113.586,46.092,"modern","HybridZoneSouth",731.604740900755,12.3689999183019,381,36.667235733996,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.95,45.69,"modern","HybridZoneSouth",746.500843248848,11.5909998019536,385,32.1561863880081,1,1,1,0,1,1,0,0,1,0,0
"caurina",-114.154,48.443,"modern","HybridZoneNorth",835.500611189493,15.4266665776571,597,20.9229168291579,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.012,46.337,"modern","HybridZoneSouth",691.685121371675,10.0135001341502,471,35.5820841427174,1,1,1,1,1,0,0,0,0,0,1
"caurina",-111.92,45.301,"modern","HybridZoneSouth",839.297273726056,15.0871666272481,400,45.008047050118,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.089,46.57,"modern","HybridZoneSouth",808.653708202181,17.0594997406006,313,26.6469355010597,1,1,1,0,1,1,0,0,1,0,0
"caurina",-111.164,44.608,"modern","HybridZoneSouth",907.438630664758,13.006166934967,712,27.23787978791,1,1,1,0,1,1,0,0,1,0,0
"caurina",-113.432,47.192,"modern","HybridZoneNorth",834.438476461294,15.1411663691203,542,26.6223931531038,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.328,46.092,"modern","HybridZoneSouth",743.928236058993,12.8925002813339,412,25.5810498164616,1,0,1,1,1,1,1,0,0,0,0
"caurina",-112.835,45.656,"modern","HybridZoneSouth",705.587806995474,10.8124998807907,374,44.49819956425,1,1,1,1,1,0,0,0,0,0,1
"caurina",-114.882,47.051,"modern","HybridZoneSouth",734.402863114144,13.471666653951,465,22.2732261128059,1,1,1,0,1,1,0,0,1,0,0
"caurina",-112.214,46.164,"modern","HybridZoneNorth",741.546743051584,12.5603333711624,383,47.000920620365,1,1,1,1,0,1,0,0,0,1,0
"caurina",-110.98,45.569,"modern","HybridZoneSouth",734.191035561367,12.932000041008,574,31.1643870785641,1,1,1,0,1,1,0,0,1,0,0
"caurina",-111.245,45.157,"modern","HybridZoneSouth",841.793443587807,12.1623330911001,646,19.7161994082088,1,0,1,1,1,1,1,0,0,0,0
"caurina",-114.823,48.86,"modern","HybridZoneNorth",817.410614598657,12.8546667098999,730,20.9940785776585,1,1,0,1,1,1,0,1,0,0,0
"caurina",-112.824,45.13,"modern","HybridZoneSouth",841.216673135681,16.1973334948222,271,61.9365916370914,1,1,1,1,1,0,0,0,0,0,1
"caurina",-116.24,47.112,"modern","HybridZoneSouth",728.310461412539,14.6091667016347,960,41.3534178381339,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.417,48.733,"modern","HybridZoneNorth",803.224011570629,13.5063331921895,560,32.2823358029674,1,1,1,1,0,1,0,0,0,1,0
"caurina",-110.491,44.545,"modern","HybridZoneSouth",832.183008553023,11.1125000516574,669,20.5924916188778,1,0,1,1,1,1,1,0,0,0,0
"caurina",-115.395,45.991,"modern","HybridZoneSouth",713.086870338549,13.4055000940959,682,25.5919817884572,1,1,1,0,1,1,0,0,1,0,0
"caurina",-109.556,44.446,"modern","HybridZoneSouth",818.028606610199,14.5211669603984,427,32.1208742361227,1,1,1,1,0,1,0,0,0,1,0
"caurina",-114.95,45.385,"modern","HybridZoneSouth",793.83263035515,14.2641666730245,523,22.9232075306333,1,1,0,1,1,1,0,1,0,0,0
"caurina",-117.365,48.777,"modern","HybridZoneNorth",780.590440565304,15.7524999777476,743,33.3703154483154,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.59,44.467,"modern","HybridZoneSouth",736.900118178127,10.2888334194819,444,20.9326725877774,1,1,1,1,0,1,0,0,0,1,0
"caurina",-110.522,43.909,"modern","HybridZoneSouth",927.515018467902,13.1731666326523,632,29.2399629333748,1,0,1,1,1,1,1,0,0,0,0
