"Name","longitude","latitude","time.bin","region","bio4","bio10","bio12","bio15","presence","tr.abcd","tr.abce","tr.abde","tr.acde","tr.bcde","test.e","test.d","test.c","test.b","test.a"
"caurina",-113.64,44.96,"modern","HybridZoneSouth",928.389882363543,16.8666667938232,231,45.1680709433912,1,1,0,1,1,1,0,1,0,0,0
"caurina",-113.56,45.305,"modern","HybridZoneSouth",725.59454359165,11.1103330850601,311,40.865593716382,1,0,1,1,1,1,1,0,0,0,0
"caurina",-114.109,46.617,"modern","HybridZoneSouth",792.760666442759,15.7241667906443,349,26.7231130863432,1,1,1,0,1,1,0,0,1,0,0
"caurina",-113.595,46.607,"modern","HybridZoneSouth",792.80162570452,14.8345001538595,393,28.1977234883674,1,1,1,1,0,1,0,0,0,1,0
"caurina",-114.492,46.65,"modern","HybridZoneSouth",759.326069820566,12.7748332023621,405,25.4484414113502,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.328,46.827,"modern","HybridZoneSouth",778.427424011063,14.9541663328807,362,26.8388955621478,1,1,0,1,1,1,0,1,0,0,0
"caurina",-110.238,45.194,"modern","HybridZoneSouth",808.648638760168,9.96599992116292,633,19.96112057546,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.08,45.479,"modern","HybridZoneSouth",717.489284169958,9.33333341280619,412,39.4445889150773,1,0,1,1,1,1,1,0,0,0,0
"caurina",-110.98,45.569,"modern","HybridZoneSouth",734.191035561367,12.932000041008,574,31.1643870785641,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.337,46.143,"modern","HybridZoneSouth",736.107077241531,12.3758334716161,387,39.9841678204762,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.328,46.092,"modern","HybridZoneSouth",743.928236058993,12.8925002813339,412,25.5810498164616,1,1,0,1,1,1,0,1,0,0,0
"caurina",-111.204,44.613,"modern","HybridZoneSouth",892.673068247526,12.4723331928253,710,28.0168326847728,1,1,1,0,1,1,0,0,1,0,0
"caurina",-113.586,46.092,"modern","HybridZoneSouth",731.604740900755,12.3689999183019,381,36.667235733996,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.691,45.392,"modern","HybridZoneSouth",702.275776650465,9.53983330726624,379,32.3068900570828,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.203,45.392,"modern","HybridZoneSouth",762.495349030014,10.8693336049716,347,42.1959811884947,1,1,0,1,1,1,0,1,0,0,0
"caurina",-113.416,44.907,"modern","HybridZoneSouth",734.247179623561,10.9388331572215,332,38.5972636147007,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.699,45.566,"modern","HybridZoneSouth",746.583438107643,11.6249998807907,326,37.1073730518444,1,1,1,0,1,1,0,0,1,0,0
"caurina",-111.114,44.781,"modern","HybridZoneSouth",937.719763914988,13.2174998521805,697,22.8158163701194,1,1,0,1,1,1,0,1,0,0,0
"caurina",-113.338,45.916,"modern","HybridZoneSouth",759.351057739214,12.1281664768855,344,41.2918742565416,1,1,0,1,1,1,0,1,0,0,0
"caurina",-112.964,45.829,"modern","HybridZoneSouth",799.273755013709,13.7233332395554,317,48.5246807715463,1,1,0,1,1,1,0,1,0,0,0
"caurina",-113.186,45.988,"modern","HybridZoneSouth",761.645112203316,11.9454998970032,360,41.9693073612393,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.325,45.566,"modern","HybridZoneSouth",727.590856769934,10.3826666673025,358,40.4332733229249,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.756,47.051,"modern","HybridZoneSouth",799.577617480167,16.4016664028168,389,25.5349020603984,1,0,1,1,1,1,1,0,0,0,0
"caurina",-114.36,46.705,"modern","HybridZoneSouth",747.046917475571,13.1296668052673,391,24.6677401052814,1,0,1,1,1,1,1,0,0,0,0
"caurina",-112.835,45.656,"modern","HybridZoneSouth",705.587806995474,10.8124998807907,374,44.49819956425,1,1,0,1,1,1,0,1,0,0,0
"caurina",-113.01,45.765,"modern","HybridZoneSouth",747.647527710761,12.4091665744781,330,46.4889710866198,1,1,1,0,1,1,0,0,1,0,0
"caurina",-113.119,45.851,"modern","HybridZoneSouth",813.612813182787,13.1071665684382,319,45.9998030583758,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.14,45.822,"modern","HybridZoneSouth",711.187261567406,10.7716664075851,362,42.3200768177295,1,1,1,1,1,0,0,0,0,0,1
"caurina",-110.238,45.281,"modern","HybridZoneSouth",752.380420282563,10.7188332080841,615,22.0511361182831,1,1,1,1,0,1,0,0,0,1,0
"caurina",-111.108,45.132,"modern","HybridZoneSouth",830.485757814492,11.3663331866264,660,19.5170112755005,1,1,1,0,1,1,0,0,1,0,0
"caurina",-112.963,46.004,"modern","HybridZoneSouth",786.151989026712,13.2694999376933,361,43.9716921671907,1,1,1,0,1,1,0,0,1,0,0
"caurina",-114.236,46.53,"modern","HybridZoneSouth",744.199792494767,12.6498331228892,409,25.3915492810607,1,0,1,1,1,1,1,0,0,0,0
"caurina",-112.931,45.427,"modern","HybridZoneSouth",697.58035132549,8.94866681098938,426,37.9897100439935,1,1,1,1,0,1,0,0,0,1,0
"caurina",-111.245,45.157,"modern","HybridZoneSouth",841.793443587807,12.1623330911001,646,19.7161994082088,1,1,1,1,1,0,0,0,0,0,1
"caurina",-114.935,47.061,"modern","HybridZoneSouth",746.939870337693,13.6156667073568,495,22.4114756138058,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.95,45.69,"modern","HybridZoneSouth",746.500843248848,11.5909998019536,385,32.1561863880081,1,1,1,0,1,1,0,0,1,0,0
"caurina",-112.836,45.393,"modern","HybridZoneSouth",711.22785160339,10.8436666528384,362,44.7702211758592,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.438,45.132,"modern","HybridZoneSouth",730.498741951426,10.6858332157135,322,40.0616255896473,1,0,1,1,1,1,1,0,0,0,0
"caurina",-113.461,46.092,"modern","HybridZoneSouth",758.065811049444,13.1183333794276,377,40.7864150110746,1,1,0,1,1,1,0,1,0,0,0
"caurina",-111.356,44.868,"modern","HybridZoneSouth",881.116816868089,11.8428335587184,675,21.6266448189106,1,0,1,1,1,1,1,0,0,0,0
"caurina",-110.98,45.482,"modern","HybridZoneSouth",733.912196515099,11.3106668790181,619,25.7768442247753,1,1,1,0,1,1,0,0,1,0,0
"caurina",-113.087,46.003,"modern","HybridZoneSouth",716.566022355742,9.91366676489512,428,37.382422736855,1,1,1,1,1,0,0,0,0,0,1
"caurina",-114.154,48.443,"modern","HybridZoneNorth",835.500611189493,15.4266665776571,597,20.9229168291579,1,1,1,1,0,1,0,0,0,1,0
"caurina",-111.165,44.727,"modern","HybridZoneSouth",976.499499645852,14.2238330046336,701,24.6044686766523,1,1,0,1,1,1,0,1,0,0,0
"caurina",-111.208,44.73,"modern","HybridZoneSouth",947.433867855583,13.5766668717066,712,25.3279600352724,1,1,0,1,1,1,0,1,0,0,0
"caurina",-111.127,45.794,"modern","HybridZoneNorth",886.537008119632,17.6566669940948,395,53.5228841299506,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.012,46.337,"modern","HybridZoneSouth",691.685121371675,10.0135001341502,471,35.5820841427174,1,1,1,1,0,1,0,0,0,1,0
"caurina",-114.089,46.57,"modern","HybridZoneSouth",808.653708202181,17.0594997406006,313,26.6469355010597,1,1,1,1,1,0,0,0,0,0,1
"caurina",-111.164,44.608,"modern","HybridZoneSouth",907.438630664758,13.006166934967,712,27.23787978791,1,0,1,1,1,1,1,0,0,0,0
"caurina",-111.92,45.301,"modern","HybridZoneSouth",839.297273726056,15.0871666272481,400,45.008047050118,1,1,1,1,0,1,0,0,0,1,0
"caurina",-112.899,45.133,"modern","HybridZoneSouth",833.563741382221,15.6946667830149,263,60.1905314408461,1,1,1,0,1,1,0,0,1,0,0
"caurina",-111.028,45.7,"modern","HybridZoneNorth",864.53490680333,17.1754999955495,454,48.3611025548762,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.432,47.192,"modern","HybridZoneNorth",834.438476461294,15.1411663691203,542,26.6223931531038,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.214,45.573,"modern","HybridZoneSouth",720.426690168541,10.1460000276566,369,41.0466221245085,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.486,46.791,"modern","HybridZoneSouth",784.649110018484,14.7798336346944,345,28.4182294589047,1,1,0,1,1,1,0,1,0,0,0
"caurina",-113.646,45.368,"modern","HybridZoneSouth",710.183605571091,10.8715002536774,325,38.4850879856598,1,0,1,1,1,1,1,0,0,0,0
"caurina",-113.08,45.568,"modern","HybridZoneSouth",724.332042705485,10.1056665380796,389,42.001193924691,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.558,45.221,"modern","HybridZoneSouth",717.708335364314,10.1398334900538,339,36.5064700890593,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.574,45.39,"modern","HybridZoneSouth",790.752826788267,11.9633330305417,304,42.544384086117,1,1,1,1,1,0,0,0,0,0,1
"caurina",-114.338,46.111,"modern","HybridZoneSouth",756.561468378799,12.1289999087652,431,25.1856061084328,1,1,1,1,0,1,0,0,0,1,0
"caurina",-114.35,46.754,"modern","HybridZoneSouth",781.089497755493,14.8121666113536,352,27.7369888336915,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.328,46.002,"modern","HybridZoneSouth",756.23792291184,13.3711670239766,406,25.3789508930022,1,1,1,1,0,1,0,0,0,1,0
"caurina",-114.218,46.182,"modern","HybridZoneSouth",780.20042277089,16.0651667118073,358,27.2696724499384,1,1,1,1,0,1,0,0,0,1,0
"caurina",-110.785,45.475,"modern","HybridZoneSouth",772.415307773151,13.3223332564036,590,29.4172185674275,1,1,1,1,1,0,0,0,0,0,1
