"Name","longitude","latitude","time.bin","region","bio4","bio10","bio12","bio15","presence","tr.abcd","tr.abce","tr.abde","tr.acde","tr.bcde","test.e","test.d","test.c","test.b","test.a"
"caurina",-106.452,41.413,"modern","caurinaTrain",725.619103047616,10.708833138148,488,19.5334677831757,1,1,0,1,1,1,0,1,0,0,0
"caurina",-122.444,47.253,"modern","caurinaTrain",489.359267496968,16.8572913805644,1077,60.3791028540061,1,0,1,1,1,1,1,0,0,0,0
"caurina",-105.471,35.795,"modern","caurinaTrain",667.656410047865,14.0285000801086,582,57.1691537355203,1,0,1,1,1,1,1,0,0,0,0
"caurina",-119.666,38.329,"modern","caurinaTrain",665.024765211856,10.8985002636909,800,67.0668196745134,1,1,1,0,1,1,0,0,1,0,0
"caurina",-105.617,40.039,"modern","caurinaTrain",720.804953506504,8.79333340128263,706,19.449346304205,1,1,1,1,1,0,0,0,0,0,1
"caurina",-110.898,40.688,"modern","caurinaTrain",712.1507140772,10.1611666282018,484,7.39125112089652,1,1,1,1,1,0,0,0,0,0,1
"caurina",-106.846,38.708,"modern","caurinaTrain",977.285380921304,13.4121666948001,439,19.6659751634436,1,1,1,1,1,0,0,0,0,0,1
"caurina",-123.668,47.872,"modern","caurinaTrain",506.271462875729,12.0086666742961,2703,61.7287778649428,1,1,1,0,1,1,0,0,1,0,0
"caurina",-105.044,38.84,"modern","caurinaTrain",736.828285213877,10.0818332632383,540,41.7954988280922,1,1,0,1,1,1,0,1,0,0,0
"caurina",-109.133,42.802,"modern","caurinaTrain",726.5994490249,8.24483347932498,423,16.5986794780516,1,0,1,1,1,1,1,0,0,0,0
"caurina",-118.092,45.78,"modern","caurinaTrain",670.049875015553,14.3706670602163,697,43.9550637960796,1,1,1,0,1,1,0,0,1,0,0
"caurina",-116.549,45.188,"modern","caurinaTrain",664.078250132245,10.3196665843328,675,29.6159908364331,1,1,0,1,1,1,0,1,0,0,0
"caurina",-123.223,47.421,"modern","caurinaTrain",494.562582211065,15.3820001284281,1927,63.3111848641689,1,1,1,0,1,1,0,0,1,0,0
"caurina",-115.29,43.689,"modern","caurinaTrain",770.706637232674,13.7511667410533,516,42.1305259536358,1,1,1,1,1,0,0,0,0,0,1
"caurina",-115.62,44.083,"modern","caurinaTrain",786.309254912055,14.6970000267029,565,45.5511355712309,1,1,1,0,1,1,0,0,1,0,0
"caurina",-124.386,47.95,"modern","caurinaTrain",460.659587987131,15.3315000534058,2984,58.9324377118117,1,1,1,0,1,1,0,0,1,0,0
"caurina",-110.779,42.989,"modern","caurinaTrain",853.547544025309,12.3043333292007,502,14.5230089749015,1,1,0,1,1,1,0,1,0,0,0
"caurina",-106.043,39.63,"modern","caurinaTrain",798.443966080815,12.0869996945063,417,21.4069514890109,1,1,0,1,1,1,0,1,0,0,0
"caurina",-121.335,40.416,"modern","caurinaTrain",657.294185045601,15.120666662852,1057,67.2989978089005,1,1,0,1,1,1,0,1,0,0,0
"caurina",-121.251,43.916,"modern","caurinaTrain",658.24739982557,14.039333264033,511,52.6267837018959,1,1,1,1,0,1,0,0,0,1,0
"caurina",-122.834,42.416,"modern","caurinaTrain",680.11456308233,21.3271668752034,508,60.7723288579137,1,1,1,0,1,1,0,0,1,0,0
"caurina",-117.63,44.674,"modern","caurinaTrain",842.720745287356,18.2348333994548,341,30.1437535930481,1,1,1,0,1,1,0,0,1,0,0
"caurina",-121.751,42.666,"modern","caurinaTrain",709.741483329163,15.644833167394,526,62.0600261778405,1,0,1,1,1,1,1,0,0,0,0
"caurina",-117.168,45.5,"modern","caurinaTrain",768.86020746393,16.292166630427,416,26.2288410684933,1,1,1,0,1,1,0,0,1,0,0
"caurina",-123.168,43.333,"modern","caurinaTrain",555.590542006929,19.1966667175293,1184,67.2742061135573,1,1,1,1,1,0,0,0,0,0,1
"caurina",-122.834,43.916,"modern","caurinaTrain",478.398452066723,16.620666662852,1637,64.0662138345882,1,1,1,1,0,1,0,0,0,1,0
"caurina",-120.561,44.063,"modern","caurinaTrain",661.95083001475,14.3908333778381,393,35.0610960882584,1,1,1,1,0,1,0,0,0,1,0
"caurina",-114.1,39,"modern","caurinaTrain",872.882243681363,20.3185000419617,259,20.5500753875351,1,1,1,1,0,1,0,0,0,1,0
"caurina",-106.347,40.085,"modern","caurinaTrain",947.466706456935,15.4381666183472,381,18.5104666457743,1,1,1,1,1,0,0,0,0,0,1
"caurina",-107.326,39.536,"modern","caurinaTrain",888.239228976546,16.5378336111705,402,9.84887040370528,1,1,1,1,0,1,0,0,0,1,0
"caurina",-123.877,43.561,"modern","caurinaTrain",379.029402271251,15.3919998804728,1784,70.3424086906901,1,1,1,1,1,0,0,0,0,0,1
"caurina",-120.876,42.496,"modern","caurinaTrain",647.146905824096,13.5225001970927,565,42.2087147003233,1,0,1,1,1,1,1,0,0,0,0
"caurina",-102.4,41.31,"modern","caurinaTrain",975.673677751197,21.6064999898275,438,64.8479184342298,1,1,0,1,1,1,0,1,0,0,0
"caurina",-106.799,37.483,"modern","caurinaTrain",764.962551975869,10.5146664579709,895,24.2153891016014,1,1,1,1,0,1,0,0,0,1,0
"caurina",-108.03,37.693,"modern","caurinaTrain",735.741051403054,11.0828334490458,736,21.3855123302761,1,1,1,1,0,1,0,0,0,1,0
"caurina",-107.451,38.499,"modern","caurinaTrain",899.706468636891,14.1434998114904,384,26.0356084864147,1,1,1,0,1,1,0,0,1,0,0
"caurina",-105.803,40.827,"modern","caurinaTrain",692.8787992954,9.78599998851617,578,21.3991784593463,1,0,1,1,1,1,1,0,0,0,0
"caurina",-110.955,43.497,"modern","caurinaTrain",824.9625925624,12.2440002361933,588,19.2212004165855,1,0,1,1,1,1,1,0,0,0,0
"caurina",-110.307,43.574,"modern","caurinaTrain",888.092812517487,11.6076666712761,503,15.4707450773142,1,1,1,1,0,1,0,0,0,1,0
"caurina",-106.5,36.994,"modern","caurinaTrain",781.39137085412,11.3736666043599,804,23.869533716096,1,1,1,1,0,1,0,0,0,1,0
"caurina",-118.816,44.71,"modern","caurinaTrain",718.550708447935,15.4278331597646,466,32.8517896325095,1,1,0,1,1,1,0,1,0,0,0
"caurina",-105.47,36.584,"modern","caurinaTrain",709.119637243419,10.2143330176671,731,32.5971419226861,1,1,1,0,1,1,0,0,1,0,0
"caurina",-104.486,36.991,"modern","caurinaTrain",756.491064619421,16.4879999955495,417,69.7836993269981,1,1,1,1,0,1,0,0,0,1,0
"caurina",-121.84,44.248,"modern","caurinaTrain",565.840430085668,12.3616665999095,1573,64.8043372577416,1,1,1,1,0,1,0,0,0,1,0
"caurina",-122.964,41.152,"modern","caurinaTrain",531.457456675911,13.2551666895548,1381,71.0127348324057,1,1,0,1,1,1,0,1,0,0,0
"caurina",-118.632,36.185,"modern","caurinaTrain",604.752514292954,15.7034997940063,721,80.515260710906,1,1,0,1,1,1,0,1,0,0,0
"caurina",-124.06,40.538,"modern","caurinaTrain",346.089876185629,16.4681666692098,1389,83.4987985502283,1,1,1,1,1,0,0,0,0,0,1
"caurina",-118.724,37.561,"modern","caurinaTrain",710.754006865937,14.1591666142146,430,60.2516263891211,1,1,1,1,1,0,0,0,0,0,1
"caurina",-118.404,36.773,"modern","caurinaTrain",670.108500983313,9.74099997679392,691,62.6777756836457,1,0,1,1,1,1,1,0,0,0,0
"caurina",-123.93,41.649,"modern","caurinaTrain",405.371846998244,16.6731669108073,1893,78.7427343887565,1,1,0,1,1,1,0,1,0,0,0
"caurina",-119.274,37.973,"modern","caurinaTrain",636.349075871998,8.87983341763417,765,64.3113490651153,1,1,1,1,0,1,0,0,0,1,0
"caurina",-120.149,38.928,"modern","caurinaTrain",693.739486398566,13.8754997253418,1047,74.6752682820787,1,1,0,1,1,1,0,1,0,0,0
"caurina",-121.599,41.583,"modern","caurinaTrain",632.628656962649,13.625999768575,739,50.833433599983,1,1,1,1,1,0,0,0,0,0,1
