"Name","longitude","latitude","time.bin","region","bio4","bio10","bio12","bio15","presence","tr.abcd","tr.abce","tr.abde","tr.acde","tr.bcde","test.e","test.d","test.c","test.b","test.a"
"caurina",-114.109,46.617,"modern","HybridZoneSouth",792.760666442759,15.7241667906443,349,26.7231130863432,1,1,1,1,1,0,0,0,0,0,1
"caurina",-114.328,46.827,"modern","HybridZoneSouth",778.427424011063,14.9541663328807,362,26.8388955621478,1,1,1,0,1,1,0,0,1,0,0
"caurina",-113.56,45.305,"modern","HybridZoneSouth",725.59454359165,11.1103330850601,311,40.865593716382,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.56,45.305,"modern","HybridZoneSouth",725.59454359165,11.1103330850601,311,40.865593716382,1,1,0,1,1,1,0,1,0,0,0
"caurina",-113.586,46.092,"modern","HybridZoneSouth",731.604740900755,12.3689999183019,381,36.667235733996,1,1,1,0,1,1,0,0,1,0,0
"caurina",-113.691,45.392,"modern","HybridZoneSouth",702.275776650465,9.53983330726624,379,32.3068900570828,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.213,45.414,"modern","HybridZoneSouth",762.495349030014,10.8693336049716,347,42.1959811884947,1,0,1,1,1,1,1,0,0,0,0
"caurina",-113.213,45.414,"modern","HybridZoneSouth",762.495349030014,10.8693336049716,347,42.1959811884947,1,1,1,1,0,1,0,0,0,1,0
"caurina",-111.114,44.781,"modern","HybridZoneSouth",937.719763914988,13.2174998521805,697,22.8158163701194,1,0,1,1,1,1,1,0,0,0,0
"caurina",-113.338,45.916,"modern","HybridZoneSouth",759.351057739214,12.1281664768855,344,41.2918742565416,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.338,45.916,"modern","HybridZoneSouth",759.351057739214,12.1281664768855,344,41.2918742565416,1,1,1,1,1,0,0,0,0,0,1
"caurina",-113.338,45.916,"modern","HybridZoneSouth",759.351057739214,12.1281664768855,344,41.2918742565416,1,0,1,1,1,1,1,0,0,0,0
"caurina",-112.964,45.829,"modern","HybridZoneSouth",799.273755013709,13.7233332395554,317,48.5246807715463,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.307,46.827,"modern","HybridZoneSouth",778.427424011063,14.9541663328807,362,26.8388955621478,1,1,1,1,0,1,0,0,0,1,0
"caurina",-113.186,45.988,"modern","HybridZoneSouth",761.645112203316,11.9454998970032,360,41.9693073612393,1,1,0,1,1,1,0,1,0,0,0
"caurina",-113.325,45.566,"modern","HybridZoneSouth",727.590856769934,10.3826666673025,358,40.4332733229249,1,1,1,0,1,1,0,0,1,0,0
"caurina",-114.36,46.705,"modern","HybridZoneSouth",747.046917475571,13.1296668052673,391,24.6677401052814,1,0,1,1,1,1,1,0,0,0,0
"caurina",-112.835,45.656,"modern","HybridZoneSouth",705.587806995474,10.8124998807907,374,44.49819956425,1,1,0,1,1,1,0,1,0,0,0
"caurina",-114.36,46.705,"modern","HybridZoneSouth",747.046917475571,13.1296668052673,391,24.6677401052814,1,1,1,1,0,1,0,0,0,1,0
