"Name","longitude","latitude","time.bin","region","bio4","bio10","bio12","bio15","presence","tr.abcd","tr.abce","tr.abde","tr.acde","tr.bcde","test.e","test.d","test.c","test.b","test.a"
"hybrid",-113.01,45.765,"modern","HybridZoneSouth",747.647527710761,12.4091665744781,330,46.4889710866198,1,1,0,1,1,1,0,1,0,0,0
"hybrid",-110.441,45.012,"modern","HybridZoneSouth",846.144600295411,11.6994998852412,614,17.2006841092604,1,1,1,1,1,0,0,0,0,0,1
"hybrid",-112.964,45.829,"modern","HybridZoneSouth",799.273755013709,13.7233332395554,317,48.5246807715463,1,1,0,1,1,1,0,1,0,0,0
"hybrid",-112.963,46.004,"modern","HybridZoneSouth",786.151989026712,13.2694999376933,361,43.9716921671907,1,1,1,0,1,1,0,0,1,0,0
"hybrid",-112.269,46.356,"modern","HybridZoneNorth",719.451300073869,11.3493336439133,445,42.139133702915,1,1,0,1,1,1,0,1,0,0,0
"hybrid",-114.236,46.53,"modern","HybridZoneSouth",744.199792494767,12.6498331228892,409,25.3915492810607,1,0,1,1,1,1,1,0,0,0,0
"hybrid",-114.307,46.827,"modern","HybridZoneSouth",778.427424011063,14.9541663328807,362,26.8388955621478,1,1,0,1,1,1,0,1,0,0,0
"hybrid",-113.974,48.065,"modern","HybridZoneNorth",827.999985393853,16.4296667575836,622,21.289391973579,1,1,1,1,1,0,0,0,0,0,1
"hybrid",-113.578,48.253,"modern","HybridZoneNorth",832.077612195141,13.0206665992737,657,21.4855603499776,1,1,1,0,1,1,0,0,1,0,0
"hybrid",-114.152,48.584,"modern","HybridZoneNorth",861.4436914291,14.7940002282461,664,19.6120192615455,1,1,1,1,1,0,0,0,0,0,1
"hybrid",-114.909,48.983,"modern","HybridZoneNorth",795.158468557357,11.2428332567215,798,21.0605455029045,1,0,1,1,1,1,1,0,0,0,0
"hybrid",-111.171,45.351,"modern","HybridZoneSouth",760.384726144989,12.4244997501373,600,26.0932369214121,1,0,1,1,1,1,1,0,0,0,0
"hybrid",-112.931,45.427,"modern","HybridZoneSouth",697.58035132549,8.94866681098938,426,37.9897100439935,1,1,0,1,1,1,0,1,0,0,0
"hybrid",-113.214,45.573,"modern","HybridZoneSouth",720.426690168541,10.1460000276566,369,41.0466221245085,1,1,1,0,1,1,0,0,1,0,0
"hybrid",-113.95,45.69,"modern","HybridZoneSouth",746.500843248848,11.5909998019536,385,32.1561863880081,1,0,1,1,1,1,1,0,0,0,0
